sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id
0,openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
1,openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
2,openproblems_neurips2023,Lapatinib,Lapatinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
3,openproblems_neurips2023,Lapatinib,Lapatinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
4,openproblems_neurips2023,Atorvastatin,Atorvastatin,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
5,openproblems_neurips2023,Atorvastatin,Atorvastatin,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
6,openproblems_neurips2023,Clomipramine,Clomipramine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
7,openproblems_neurips2023,Clomipramine,Clomipramine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
8,openproblems_neurips2023,Ixabepilone,Ixabepilone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
9,openproblems_neurips2023,Ixabepilone,Ixabepilone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
10,openproblems_neurips2023,Protriptyline,Protriptyline,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
11,openproblems_neurips2023,Protriptyline,Protriptyline,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
12,openproblems_neurips2023,Phenylbutazone,Phenylbutazone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
13,openproblems_neurips2023,Phenylbutazone,Phenylbutazone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
14,openproblems_neurips2023,K-02288,K-02288,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
15,openproblems_neurips2023,K-02288,K-02288,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
16,openproblems_neurips2023,BMS-777607,BMS-777607,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
17,openproblems_neurips2023,BMS-777607,BMS-777607,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
18,openproblems_neurips2023,Vorinostat,Vorinostat,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
19,openproblems_neurips2023,Vorinostat,Vorinostat,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
20,openproblems_neurips2023,Ruxolitinib,Ruxolitinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
21,openproblems_neurips2023,Ruxolitinib,Ruxolitinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
22,openproblems_neurips2023,AVL-292,AVL-292,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
23,openproblems_neurips2023,AVL-292,AVL-292,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
24,openproblems_neurips2023,Trametinib,Trametinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
25,openproblems_neurips2023,Trametinib,Trametinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
26,openproblems_neurips2023,Sgc-cbp30,Sgc-cbp30,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
27,openproblems_neurips2023,Sgc-cbp30,Sgc-cbp30,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
28,openproblems_neurips2023,Chlorpheniramine,Chlorpheniramine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
29,openproblems_neurips2023,Chlorpheniramine,Chlorpheniramine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
30,openproblems_neurips2023,BAY 61-3606,BAY 61-3606,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
31,openproblems_neurips2023,BAY 61-3606,BAY 61-3606,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
32,openproblems_neurips2023,LY2090314,LY2090314,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
33,openproblems_neurips2023,LY2090314,LY2090314,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
34,openproblems_neurips2023,Vardenafil,Vardenafil,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
35,openproblems_neurips2023,Vardenafil,Vardenafil,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
36,openproblems_neurips2023,Dasatinib,Dasatinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
37,openproblems_neurips2023,Dasatinib,Dasatinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
38,openproblems_neurips2023,AT13387,AT13387,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
39,openproblems_neurips2023,AT13387,AT13387,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
40,openproblems_neurips2023,Perhexiline,Perhexiline,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
41,openproblems_neurips2023,Perhexiline,Perhexiline,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
42,openproblems_neurips2023,RVX-208,RVX-208,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
43,openproblems_neurips2023,RVX-208,RVX-208,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
44,openproblems_neurips2023,Ketoconazole,Ketoconazole,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
45,openproblems_neurips2023,Ketoconazole,Ketoconazole,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
46,openproblems_neurips2023,Disulfiram,Disulfiram,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
47,openproblems_neurips2023,Disulfiram,Disulfiram,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
48,openproblems_neurips2023,Flutamide,Flutamide,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
49,openproblems_neurips2023,Flutamide,Flutamide,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
50,openproblems_neurips2023,Desloratadine,Desloratadine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
51,openproblems_neurips2023,Desloratadine,Desloratadine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
52,openproblems_neurips2023,BMS-536924,BMS-536924,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
53,openproblems_neurips2023,BMS-536924,BMS-536924,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
54,openproblems_neurips2023,IKK Inhibitor VII,IKK Inhibitor VII,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
55,openproblems_neurips2023,IKK Inhibitor VII,IKK Inhibitor VII,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
56,openproblems_neurips2023,Amiodarone,Amiodarone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
57,openproblems_neurips2023,Amiodarone,Amiodarone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
58,openproblems_neurips2023,IMD-0354,IMD-0354,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
59,openproblems_neurips2023,IMD-0354,IMD-0354,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
60,openproblems_neurips2023,Canertinib,Canertinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
61,openproblems_neurips2023,Alogliptin,Alogliptin,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
62,openproblems_neurips2023,Alogliptin,Alogliptin,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
63,openproblems_neurips2023,RN-486,RN-486,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
64,openproblems_neurips2023,RN-486,RN-486,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
65,openproblems_neurips2023,Decitabine,Decitabine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
66,openproblems_neurips2023,Decitabine,Decitabine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
67,openproblems_neurips2023,Cabozantinib,Cabozantinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
68,openproblems_neurips2023,Cabozantinib,Cabozantinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
69,openproblems_neurips2023,Defactinib,Defactinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
70,openproblems_neurips2023,Defactinib,Defactinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
71,openproblems_neurips2023,AZD3514,AZD3514,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
72,openproblems_neurips2023,AZD3514,AZD3514,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
73,openproblems_neurips2023,HMN-214,HMN-214,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
74,openproblems_neurips2023,HMN-214,HMN-214,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
75,openproblems_neurips2023,CC-401,CC-401,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
76,openproblems_neurips2023,CC-401,CC-401,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
77,openproblems_neurips2023,Resminostat,Resminostat,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
78,openproblems_neurips2023,Resminostat,Resminostat,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
79,openproblems_neurips2023,Nilotinib,Nilotinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
80,openproblems_neurips2023,Nilotinib,Nilotinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
81,openproblems_neurips2023,OSI-930,OSI-930,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
82,openproblems_neurips2023,OSI-930,OSI-930,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
83,openproblems_neurips2023,Saracatinib,Saracatinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
84,openproblems_neurips2023,Saracatinib,Saracatinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
85,openproblems_neurips2023,RG7112,RG7112,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
86,openproblems_neurips2023,RG7112,RG7112,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
87,openproblems_neurips2023,Lamivudine,Lamivudine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
88,openproblems_neurips2023,Lamivudine,Lamivudine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
89,openproblems_neurips2023,AZD-8330,AZD-8330,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
90,openproblems_neurips2023,AZD-8330,AZD-8330,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
91,openproblems_neurips2023,Ceritinib,Ceritinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
92,openproblems_neurips2023,Ceritinib,Ceritinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
93,openproblems_neurips2023,CGM-097,CGM-097,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
94,openproblems_neurips2023,CGM-097,CGM-097,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
95,openproblems_neurips2023,SLx-2119,SLx-2119,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
96,openproblems_neurips2023,SLx-2119,SLx-2119,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
97,openproblems_neurips2023,Nefazodone,Nefazodone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
98,openproblems_neurips2023,Nefazodone,Nefazodone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
99,openproblems_neurips2023,TPCA-1,TPCA-1,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
100,openproblems_neurips2023,TPCA-1,TPCA-1,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
101,openproblems_neurips2023,MGCD-265,MGCD-265,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
102,openproblems_neurips2023,MGCD-265,MGCD-265,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
103,openproblems_neurips2023,GSK-1070916,GSK-1070916,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
104,openproblems_neurips2023,GSK-1070916,GSK-1070916,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
105,openproblems_neurips2023,Bosutinib,Bosutinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
106,openproblems_neurips2023,Bosutinib,Bosutinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
107,openproblems_neurips2023,Clemastine,Clemastine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
108,openproblems_neurips2023,Clemastine,Clemastine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
109,openproblems_neurips2023,YK 4-279,YK 4-279,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
110,openproblems_neurips2023,YK 4-279,YK 4-279,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
111,openproblems_neurips2023,Buspirone,Buspirone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
112,openproblems_neurips2023,Buspirone,Buspirone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
113,openproblems_neurips2023,GSK256066,GSK256066,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
114,openproblems_neurips2023,GSK256066,GSK256066,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
115,openproblems_neurips2023,Vandetanib,Vandetanib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
116,openproblems_neurips2023,Vandetanib,Vandetanib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
117,openproblems_neurips2023,Imatinib,Imatinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
118,openproblems_neurips2023,Imatinib,Imatinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
119,openproblems_neurips2023,SCH-58261,SCH-58261,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
120,openproblems_neurips2023,SCH-58261,SCH-58261,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
121,openproblems_neurips2023,Colforsin,Colforsin,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
122,openproblems_neurips2023,Colforsin,Colforsin,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
123,openproblems_neurips2023,Tosedostat,Tosedostat,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
124,openproblems_neurips2023,Tosedostat,Tosedostat,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
125,openproblems_neurips2023,ABT-199 (GDC-0199),ABT-199 (GDC-0199),B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
126,openproblems_neurips2023,ABT-199 (GDC-0199),ABT-199 (GDC-0199),Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
127,openproblems_neurips2023,Mometasone Furoate,Mometasone Furoate,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
128,openproblems_neurips2023,Mometasone Furoate,Mometasone Furoate,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
129,openproblems_neurips2023,Tipifarnib,Tipifarnib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
130,openproblems_neurips2023,Tipifarnib,Tipifarnib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
131,openproblems_neurips2023,Doxorubicin,Doxorubicin,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
132,openproblems_neurips2023,Doxorubicin,Doxorubicin,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
133,openproblems_neurips2023,PF-03814735,PF-03814735,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
134,openproblems_neurips2023,PF-03814735,PF-03814735,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
135,openproblems_neurips2023,AZD4547,AZD4547,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
136,openproblems_neurips2023,AZD4547,AZD4547,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
137,openproblems_neurips2023,Prednisolone,Prednisolone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
138,openproblems_neurips2023,Prednisolone,Prednisolone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
139,openproblems_neurips2023,Tacalcitol,Tacalcitol,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
140,openproblems_neurips2023,Tacalcitol,Tacalcitol,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
141,openproblems_neurips2023,Clotrimazole,Clotrimazole,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
142,openproblems_neurips2023,Clotrimazole,Clotrimazole,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
143,openproblems_neurips2023,Mubritinib (TAK 165),Mubritinib (TAK 165),B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
144,openproblems_neurips2023,Mubritinib (TAK 165),Mubritinib (TAK 165),Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
145,openproblems_neurips2023,Vanoxerine,Vanoxerine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
146,openproblems_neurips2023,Vanoxerine,Vanoxerine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
147,openproblems_neurips2023,SB525334,SB525334,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
148,openproblems_neurips2023,SB525334,SB525334,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
149,openproblems_neurips2023,HYDROXYUREA,HYDROXYUREA,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
150,openproblems_neurips2023,HYDROXYUREA,HYDROXYUREA,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
